S.no,Leading Causes,Year,Age Adjusted Death Rate
1,Heart Disease,1900,265.4
2,Heart Disease,1901,272.6
3,Heart Disease,1902,285.2
4,Heart Disease,1903,304.5
5,Heart Disease,1904,331.5
6,Heart Disease,1905,327.8
7,Heart Disease,1906,325.5
8,Heart Disease,1907,356.5
9,Heart Disease,1908,328.6
10,Heart Disease,1909,329.2
11,Heart Disease,1910,345.1
12,Heart Disease,1911,341.8
13,Heart Disease,1912,346
14,Heart Disease,1913,337.9
15,Heart Disease,1914,346.4
16,Heart Disease,1915,361.5
17,Heart Disease,1916,373.3
18,Heart Disease,1917,377.9
19,Heart Disease,1918,366.2
20,Heart Disease,1919,335.7
21,Heart Disease,1920,375
22,Heart Disease,1921,366.2
23,Heart Disease,1922,392.1
24,Heart Disease,1923,410.3
25,Heart Disease,1924,410.5
26,Heart Disease,1925,433.8
27,Heart Disease,1926,465.7
28,Heart Disease,1927,448.8
29,Heart Disease,1928,478.9
30,Heart Disease,1929,476.2
31,Heart Disease,1930,467.9
32,Heart Disease,1931,459.6
33,Heart Disease,1932,482.8
34,Heart Disease,1933,483.8
35,Heart Disease,1934,502.9
36,Heart Disease,1935,506.8
37,Heart Disease,1936,546.2
38,Heart Disease,1937,538.8
39,Heart Disease,1938,528.9
40,Heart Disease,1939,534.5
41,Heart Disease,1940,558.5
42,Heart Disease,1941,537.9
43,Heart Disease,1942,531.7
44,Heart Disease,1943,567.5
45,Heart Disease,1944,541.1
46,Heart Disease,1945,533.2
47,Heart Disease,1946,527.7
48,Heart Disease,1947,552.5
49,Heart Disease,1948,549
50,Heart Disease,1949,581
51,Heart Disease,1950,588.8
52,Heart Disease,1951,577.9
53,Heart Disease,1952,568.8
54,Heart Disease,1953,570.1
55,Heart Disease,1954,544.6
56,Heart Disease,1955,556.7
57,Heart Disease,1956,560.6
58,Heart Disease,1957,568.5
59,Heart Disease,1958,563.6
60,Heart Disease,1959,552.1
61,Heart Disease,1960,559
62,Heart Disease,1961,545.3
63,Heart Disease,1962,556.9
64,Heart Disease,1963,563.4
65,Heart Disease,1964,543.3
66,Heart Disease,1965,542.5
67,Heart Disease,1966,541.2
68,Heart Disease,1967,524.7
69,Heart Disease,1968,531
70,Heart Disease,1969,516.8
71,Heart Disease,1970,492.7
72,Heart Disease,1971,492.9
73,Heart Disease,1972,490.2
74,Heart Disease,1973,482
75,Heart Disease,1974,458.8
76,Heart Disease,1975,431.2
77,Heart Disease,1976,426.9
78,Heart Disease,1977,413.7
79,Heart Disease,1978,409.9
80,Heart Disease,1979,401.6
81,Heart Disease,1980,412.1
82,Heart Disease,1981,397
83,Heart Disease,1982,389
84,Heart Disease,1983,388.9
85,Heart Disease,1984,378.8
86,Heart Disease,1985,375
87,Heart Disease,1986,365.1
88,Heart Disease,1987,355.9
89,Heart Disease,1988,352.5
90,Heart Disease,1989,332
91,Heart Disease,1990,321.8
92,Heart Disease,1991,313.8
93,Heart Disease,1992,306.1
94,Heart Disease,1993,309.9
95,Heart Disease,1994,299.7
96,Heart Disease,1995,296.3
97,Heart Disease,1996,288.3
98,Heart Disease,1997,280.4
99,Heart Disease,1998,272.4
100,Heart Disease,1999,266.5
101,Heart Disease,2000,257.6
102,Heart Disease,2001,249.5
103,Heart Disease,2002,244.6
104,Heart Disease,2003,236.3
105,Heart Disease,2004,221.6
106,Heart Disease,2005,216.8
107,Heart Disease,2006,205.5
108,Heart Disease,2007,196.1
109,Heart Disease,2008,192.1
110,Heart Disease,2009,182.8
111,Heart Disease,2010,179.1
112,Heart Disease,2011,173.7
113,Heart Disease,2012,170.5
114,Heart Disease,2013,169.8
115,Cancer,1900,114.8
116,Cancer,1901,118.1
117,Cancer,1902,119.7
118,Cancer,1903,125.2
119,Cancer,1904,127.9
120,Cancer,1905,132.5
121,Cancer,1906,128.8
122,Cancer,1907,133
123,Cancer,1908,134.5
124,Cancer,1909,138.1
125,Cancer,1910,143.1
126,Cancer,1911,140.4
127,Cancer,1912,144.7
128,Cancer,1913,147.8
129,Cancer,1914,146.6
130,Cancer,1915,149.5
131,Cancer,1916,152.2
132,Cancer,1917,150.7
133,Cancer,1918,148.4
134,Cancer,1919,152.1
135,Cancer,1920,159
136,Cancer,1921,163.5
137,Cancer,1922,165.6
138,Cancer,1923,168.8
139,Cancer,1924,170.6
140,Cancer,1925,174.3
141,Cancer,1926,177.3
142,Cancer,1927,177.8
143,Cancer,1928,177.8
144,Cancer,1929,175.3
145,Cancer,1930,174.5
146,Cancer,1931,175.8
147,Cancer,1932,179.2
148,Cancer,1933,178.2
149,Cancer,1934,181.6
150,Cancer,1935,183.4
151,Cancer,1936,186.8
152,Cancer,1937,184.6
153,Cancer,1938,185.7
154,Cancer,1939,187.1
155,Cancer,1940,187.8
156,Cancer,1941,184.1
157,Cancer,1942,183.8
158,Cancer,1943,183.9
159,Cancer,1944,183.8
160,Cancer,1945,186.9
161,Cancer,1946,187.1
162,Cancer,1947,190.7
163,Cancer,1948,193.4
164,Cancer,1949,193.9
165,Cancer,1950,193.9
166,Cancer,1951,192
167,Cancer,1952,194.2
168,Cancer,1953,194.6
169,Cancer,1954,194.3
170,Cancer,1955,194.5
171,Cancer,1956,195.6
172,Cancer,1957,195.4
173,Cancer,1958,192
174,Cancer,1959,191.6
175,Cancer,1960,193.9
176,Cancer,1961,193.4
177,Cancer,1962,193.3
178,Cancer,1963,194.7
179,Cancer,1964,193.6
180,Cancer,1965,195.6
181,Cancer,1966,196.5
182,Cancer,1967,197.3
183,Cancer,1968,198.8
184,Cancer,1969,198.5
185,Cancer,1970,198.6
186,Cancer,1971,199.3
187,Cancer,1972,200.3
188,Cancer,1973,200
189,Cancer,1974,201.5
190,Cancer,1975,200.1
191,Cancer,1976,202.5
192,Cancer,1977,203.5
193,Cancer,1978,204.9
194,Cancer,1979,204
195,Cancer,1980,207.9
196,Cancer,1981,206.4
197,Cancer,1982,208.3
198,Cancer,1983,209.1
199,Cancer,1984,210.8
200,Cancer,1985,211.3
201,Cancer,1986,211.5
202,Cancer,1987,211.7
203,Cancer,1988,212.5
204,Cancer,1989,214.2
205,Cancer,1990,216
206,Cancer,1991,215.2
207,Cancer,1992,213.5
208,Cancer,1993,213.5
209,Cancer,1994,211.7
210,Cancer,1995,209.8
211,Cancer,1996,206.7
212,Cancer,1997,203.5
213,Cancer,1998,200.7
214,Cancer,1999,200.8
215,Cancer,2000,199.6
216,Cancer,2001,196.5
217,Cancer,2002,194.3
218,Cancer,2003,190.9
219,Cancer,2004,186.8
220,Cancer,2005,185.1
221,Cancer,2006,181.8
